Linjenavn	Obsnr	Linjeavstand	Antall	Linjelengde
73	1	7	14	4240
74	2	NA	NA	4908
75	3	NA	NA	3710
91	4	NA	NA	2600
92	5	137	10	2838
92	6	62	2	2838
87	7	100	3	3900
88	8	11	7	2008
34	9	100	6	4103
35	10	NA	NA	2050
36	11	0	7	3417
59	12	79	7	2641
59	13	28	4	2641
59	14	27	6	2641
60	15	NA	NA	2854
41	16	NA	NA	4103
44	17	42	8	2139
44	18	74	2	2139
44	19	50	7	2139
43	20	NA	NA	2139
42	21	NA	NA	4620
66	22	15	5	2452
67	23	NA	NA	2607
85	24	NA	NA	2089
86	25	NA	NA	4374
40	26	NA	NA	4103
15	32	NA	NA	4735
16	33	192	2	4172
16	34	55	1	4172
16	35	68	7	4172
17	36	3	1	4007
18	37	170	4	4100
18	38	70	6	4100
19	39	115	1	4469
19	40	62	2	4469
19	41	135	4	4469
19	42	147	2	4469
20	43	60	10	3694
20	44	62	1	3694
20	45	160	11	3694
20	46	1	11	3694
20	47	69	2	3694
21	48	95	9	3461
21	49	77	7	3461
21	50	178	4	3461
21	51	95	1	3461
21	52	8	2	3461
21	53	89	1	3461
22	54	NA	NA	2616
23	55	115	6	2112
24	56	203	9	1978
25	57	NA	NA	1460
37	58	0	11	2300
37	59	0	13	2300
38	60	NA	NA	2305
3	61	85	6	2000
4	62	106	3	2000
13	63	26	3	2800
13	64	98	3	2800
13	65	67	2	2800
14	66	31	9	3000
14	67	20	1	3000
10	68	90	1	2100
10	69	50	1	2100
10	70	15	14	2100
10	71	5	7	2100
9	72	10	5	2000
9	73	69	1	2000
9	74	32	6	2000
6	75	90	3	2000
6	76	255	9	2000
5	77	NA	NA	2000
1	78	50	6	2100
1	79	90	1	2100
2	80	NA	NA	1900
61	88	200	10	2300
61	89	50	5	2300
61	90	50	1	2300
62	91	40	1	2614
63	92	80	10	1700
64	93	40	10	1700
78	94	30	6	3300
55	95	36	8	3900
56	96	88	2	3900
56	97	44	1	3900
56	98	44	1	3900
70	99	30	12	3175
71	100	180	10	4034
71	101	21	11	4034
71	102	95	9	4034
72	103	NA	NA	4283
97	104	98	10	4100
97	105	14	2	4100
98	106	147	10	3800
99	107	NA	NA	2100
100	108	NA	NA	2100
79	116	5	4	2267
80	117	36	4	1962
81	118	14	5	1824
81	119	151	3	1824
29	120	NA	NA	4103
30	121	NA	NA	4103
31	122	111	1	4103
32	123	NA	NA	4103
33	124	65	10	4786
33	125	42	1	4786
33	126	261	11	4786
33	127	71	1	4786
33	128	25	5	4786
12	139	60	12	3400
93	140	60	14	2100
94	141	NA	NA	2100
57	142	NA	NA	3259
58	143	0	7	2831
787	144	NA	NA	2600
788	145	50	14	2300
788	146	68	11	2300
786	147	115	12	3500
786	148	85	14	3500
786	149	99	10	3500
785	150	243	9	3800
785	151	106	11	3800
785	152	35	2	3800
785	153	276	10	3800
785	154	163	10	3800
1640	155	350	5	5357
1640	156	270	4	5357
1640	157	20	7	5357
87	158	18	4	4323
88	159	NA	NA	2009
1632	160	61	12	3646
1632	161	68	10	3646
1632	162	109	8	3646
1633	163	50	8	2232
52	164	10	1	3262
52	165	40	11	3262
52	166	150	12	3262
54	167	15	1	3267
54	168	100	2	3267
54	169	50	4	3267
54	170	70	7	3267
1630	171	NA	NA	5046
1631	172	NA	NA	3217
1629	173	7	7	4242
1629	174	180	11	4242
1629	175	280	8	4242
1628	176	NA	NA	4285
